FCH_MCODE,MOD_RTG,MOD_RTGCO,UNITS
3,1000,101,A
3,1200,121,A
2,1000,101,A
2,1200,121,A
R,0.12,P12,KW
R,0.16,P12,HP
R,0.18,P18,KW
R,0.24,P18,HP
R,0.25,P25,KW
R,0.34,P25,HP
R,0.37,P37,KW
R,0.5,P37,HP
R,0.55,P55,KW
R,0.75,P55,HP
R,0.75,P75,KW
R,1,P75,HP
R,0.92,P92,KW
R,1.25,P92,HP
R,1.1,1P1,KW
R,1.5,1P1,HP
R,1.3,1P3,KW
R,1.75,1P3,HP
R,1.5,1P5,KW
R,2,1P5,HP
R,1.8,1P8,KW
R,2.5,1P8,HP
R,2.25,2P2,KW
R,3,2P2,HP
R,3,003,KW
R,4,003,HP
R,3.75,3P7,KW
R,5,3P7,HP
R,4.6,4P6,KW
R,6,4P6,HP
R,5.5,5P5,KW
R,7.5,5P5,HP
R,6,006,KW
R,8,006,HP
R,6.5,6P5,KW
R,8.7,6P5,HP
R,7.5,7P5,KW
R,10,7P5,HP
R,9.3,9P3,KW
R,12.5,9P3,HP
R,11,011,KW
R,15,011,HP
R,12,012,KW
R,16,012,HP
R,13,013,KW
R,17.5,013,HP
R,15,015,KW
R,20,015,HP
R,18.5,018,KW
R,25,018,HP
R,22.5,022,KW
R,30,022,HP
R,25,026,KW
R,33.5,026,HP
R,30,030,KW
R,40,030,HP
R,33.5,033,KW
R,45,033,HP
R,37,037,KW
R,50,037,HP
R,45,044,KW
R,60,044,HP
R,55,055,KW
R,75,055,HP
R,67,060,KW
R,90,060,HP
R,75,075,KW
R,100,075,HP
R,90,090,KW
R,125,090,HP
R,95,095,KW
R,127.5,095,HP
R,110,110,KW
R,150,110,HP
R,132,132,KW
R,175,132,HP
R,150,150,KW
R,200,150,HP
R,160,160,KW
R,214,160,HP
R,168,168,KW
R,225,168,HP
R,185,185,KW
R,2480,185,HP
