BB_CODE,BB_PRIC,BB_OLD,BS_PRIC,BPVC_PRIC
CNPH0630,6787.94,7159.21,252.00,31.00
CNPH0800,8143.55,8588.98,252.00,31.00
CNPH1000,11878.06,12527.76,252.00,31.00
CNPH1250,11878.06,12527.76,252.00,31.00
CNPH1600,14263.55,15043.74,252.00,31.00
CNPH2000,18666.00,19686.99,252.00,67.00
CNPH2500,23756.13,19686.99,277.00,108.00
CNPH3200,23756.13,25055.55,533.00,135.00
CNPV0400,43378.79,36601.23,2076.00,129.00
CNPV0630,43378.79,36601.23,2076.00,129.00
CNPV0800,54228.63,45755.86,2076.00,129.00
CNPV1000,81324.44,68618.17,2076.00,135.00
CNPV1250,81324.44,68618.17,2076.00,135.00
CNPV1600,112146.53,94624.59,2076.00,150.00
CNPV2000,169328.23,142872.10,2076.00,387.00
CNPV2500,183715.16,142872.10,2389.00,724.00
CNPV3200,183715.16,155011.20,3532.00,1574.00
CTMH0400,6218.71,6558.87,189.00,11.99
CTMH0630,6218.71,6558.87,189.00,11.99
CTMH0800,7465.74,7874.11,189.00,11.99
CTMH1000,12444.00,13124.66,189.00,20.60
CTMH1250,12444.00,13124.66,189.00,20.60
CTMH1600,14931.48,15748.20,189.00,20.60
CTMH2000,18659.42,19680.05,189.00,20.60
CTMH2500,24878.13,19680.05,268.50,75.62
CTMH3200,24878.13,26238.90,294.00,96.24
CTMV0400,15339.48,16178.53,1511.25,97.40
CTMV0630,15339.48,16178.53,1511.25,97.40
CTMV0800,20455.94,21574.85,1511.25,97.40
CTMV1000,20455.94,21574.85,1511.25,89.41
CTMV1250,60193.16,63485.63,1511.25,89.41
CTMV1600,83070.77,87614.59,1511.25,89.41
CTMV2000,125545.55,132412.60,1511.25,109.78
CTMV2500,133689.10,132412.60,2032.50,116.20
CTMV3200,133689.10,141001.60,2123.25,132.30
CTPH0400,5090.13,5368.55,189.00,23.25
CTPH0630,5090.13,5368.55,189.00,23.25
CTPH0800,6110.13,6444.34,189.00,23.25
CTPH1000,10180.26,10737.11,189.00,23.25
CTPH1250,10180.26,10737.11,189.00,23.25
CTPH1600,12220.26,12888.69,189.00,23.25
CTPH2000,15273.68,16109.13,189.00,50.25
CTPH2500,20363.81,16109.13,207.75,81.00
CTPH3200,20363.81,21477.68,399.75,101.25
CTPV0400,40072.02,33811.09,1557.00,96.75
CTPV0630,40072.02,33811.09,1557.00,96.75
CTPV0800,50095.16,42268.22,1557.00,96.75
CTPV1000,75241.45,63485.63,1557.00,101.25
CTPV1250,75241.45,63485.63,1557.00,101.25
CTPV1600,103838.47,87614.59,1557.00,112.50
CTPV2000,156931.94,132412.60,1557.00,290.25
CTPV2500,167111.37,132412.60,1791.75,543.00
CTPV3200,167111.37,141001.60,2649.00,1180.50
