103.0|C-58 (TC)|C-58 (TC)|Common|Common|Interunit|14636|C&S ELECTRIC LTD.|SISTER CONCERN|||1031008263|IntUnit W/O GST - C-58|Normal||INV|Domestic|Inter-Unit Internal Sales (C-58)|20103101382|04-JAN-2020|INR|14418423|D Range|00|Control Gear|D Range|Control Relay||CA2DN140U|Control Relay  (D )  4NO  240V AC|18.0|1202|1202.R115001.999999.99999.999|Inter-Unit Sales|||0.0||-5643.0|||||2609.41|6.12|0||540256367.0||||51300.0|
103.0|C-58 (TC)|C-58 (TC)|Common|Common|Interunit|14636|C&S ELECTRIC LTD.|SISTER CONCERN|||1031008263|IntUnit W/O GST - C-58|Normal||INV|Domestic|Inter-Unit Internal Sales (C-58)|20103101382|04-JAN-2020|INR|14418423|T Range|00|Control Gear|Acc F/T/D|Add on Block||TA1DN10|Add on Block (T)   1NO|21.0|1202|1202.R115001.999999.99999.999|Inter-Unit Sales|||0.0||-984.06|||||473.05|0.0|0||540256368.0||||8946.0|
103.0|C-58 (TC)|C-58 (TC)|Common|Common|Interunit|14636|C&S ELECTRIC LTD.|SISTER CONCERN|||1031008263|IntUnit W/O GST - C-58|Normal||INV|Domestic|Inter-Unit Internal Sales (C-58)|20103101382|04-JAN-2020|INR|14418423|PB/PL|00|PB/PL|Metalic|Sig Devic|LED|RCP7IVL74240VAC|BARREL TYPE LED RED 240V AC|49.0|1202|1202.R115001.999999.99999.999|Inter-Unit Sales|||0.0||-1940.4|||||974.29|1070.65|0||540256369.0||||17640.0|
103.0|C-58 (TC)|C-58 (TC)|Common|Common|Interunit|14636|C&S ELECTRIC LTD.|SISTER CONCERN|||1031008263|IntUnit W/O GST - C-58|Normal||INV|Domestic|Inter-Unit Internal Sales (C-58)|20103101382|04-JAN-2020|INR|14418423|PB/PL|00|PB/PL|Metalic|Sig Devic|LED|RCP7IVL78240VAC|BARREL TYPE LED YELLOW 240V AC|45.0|1202|1202.R115001.999999.99999.999|Inter-Unit Sales|||0.0||-1782.0|||||890.16|983.25|0||540256370.0||||16200.0|
103.0|C-58 (TC)|C-58 (TC)|Common|Common|Interunit|14636|C&S ELECTRIC LTD.|SISTER CONCERN|||1031008263|IntUnit W/O GST - C-58|Normal||INV|Domestic|Inter-Unit Internal Sales (C-58)|20103101382|04-JAN-2020|INR|14418423|PB/PL|00|PB/PL|Metalic|Sig Devic|LED|RCP7IVL76240VAC|BARREL TYPE LED BLUE 240V AC|45.0|1202|1202.R115001.999999.99999.999|Inter-Unit Sales|||0.0||-4009.5|||||886.55|1253.25|0||540256371.0||||36450.0|
103.0|C-58 (TC)|C-58 (TC)|Common|Common|Interunit|14636|C&S ELECTRIC LTD.|SISTER CONCERN|||1031008265|IntUnit Sales Order C-58|Normal||INV|Domestic|Inter-Unit Internal Sales (C-58)|201032111218|02-JAN-2020|INR|14422789|MISC|00|COMB|PR|||MOULD1023|TOP COVER (13A UNIVERSAL SOCKET) CS20358 TCLWA0779 4 CAVITY INJ MOULD THERMOPLASTIC|1.0|1202|1202.R115001.999999.99999.999|Inter-Unit Sales|||-110700.0||-615000.0|||||0.0|0.0|0||540201206.0|||201032111218|1845000.0|
103.0|C-58 (TC)|C-58 (TC)|Common|Common|Interunit|14636|C&S ELECTRIC LTD.|SISTER CONCERN|||1031008308|IntUnit W/O GST - C-58|Normal||INV|Domestic|Inter-Unit Internal Sales (C-58)|20103101376|03-JAN-2020|INR|14422836|PB/PL|00|PB/PL|Metalic|Contr Dev|Actuators|RCB2BA2|PUSH BUTTON FLUSH TYPE (BLACK) WITH CARRIER|66.0|1202|1202.R115001.999999.99999.999|Inter-Unit Sales|||0.0||-1415.7|||||1841.1|0.0|0||540219125.0||||12870.0|
103.0|C-58 (TC)|C-58 (TC)|Common|Common|Interunit|14636|C&S ELECTRIC LTD.|SISTER CONCERN|||1031008308|IntUnit W/O GST - C-58|Normal||INV|Domestic|Inter-Unit Internal Sales (C-58)|20103101376|03-JAN-2020|INR|14422836|PB/PL|00|PB/PL|Metalic|Contr Dev|Actuators|RCB2BL2|PUSH BUTTON PROJECTING (BLACK) WITH CARRIER|2.0|1202|1202.R115001.999999.99999.999|Inter-Unit Sales|||0.0||-44.88|||||57.47|0.0|0||540219126.0||||408.0|
103.0|C-58 (TC)|C-58 (TC)|Common|Common|Interunit|14636|C&S ELECTRIC LTD.|SISTER CONCERN|||1031008308|IntUnit W/O GST - C-58|Normal||INV|Domestic|Inter-Unit Internal Sales (C-58)|20103101376|03-JAN-2020|INR|14422836|T Range|00|Control Gear|T Range|T Contactor|T09-22|TC1D0910F5|Contactor (T)   09 A 1NO 110V AC 50Hz|61.0|1202|1202.R115001.999999.99999.999|Inter-Unit Sales|||0.0||-18418.95|||||9018.19|27.45|0||540219127.0||||167445.0|
103.0|C-58 (TC)|C-58 (TC)|Common|Common|Interunit|14636|C&S ELECTRIC LTD.|SISTER CONCERN|||1031008308|IntUnit W/O GST - C-58|Normal||INV|Domestic|Inter-Unit Internal Sales (C-58)|20103101376|03-JAN-2020|INR|14422836|T Range|00|Control Gear|T Range|T Control Relay|DC|TCA3DN40FD|Control Relay (T)   4NO  110V DC|6.0|1202|1202.R115001.999999.99999.999|Inter-Unit Sales|||0.0||-3009.6|||||1592.67|0.66|0||540219128.0||||27360.0|
103.0|C-58 (TC)|C-58 (TC)|Common|Common|Interunit|14636|C&S ELECTRIC LTD.|SISTER CONCERN|||1031008308|IntUnit W/O GST - C-58|Normal||INV|Domestic|Inter-Unit Internal Sales (C-58)|20103101376|03-JAN-2020|INR|14422836|T Range|00|Control Gear|T Range|T Contactor|T40-95|TC1D4011F5|Contactor (T)   40 A 1 NO+1 NC 110V AC 50Hz|2.0|1202|1202.R115001.999999.99999.999|Inter-Unit Sales|||0.0||-3283.5|||||1547.26|0.0|0||540219129.0||||29850.0|
103.0|C-58 (TC)|C-58 (TC)|Common|Common|Interunit|14636|C&S ELECTRIC LTD.|SISTER CONCERN|||1031008308|IntUnit W/O GST - C-58|Normal||INV|Domestic|Inter-Unit Internal Sales (C-58)|20103101376|03-JAN-2020|INR|14422836|T Range|00|Control Gear|T Range|T Control Relay|AC|TCA2DN22F5|Control Relay (T)   2 NO+2NC  110V AC 50Hz|208.0|1202|1202.R115001.999999.99999.999|Inter-Unit Sales|||0.0||-66924.0|||||31594.62|109.41|0||540219130.0||||608400.0|
